created_at;id;id_str;text;source;truncated;in_reply_to_status_id;in_reply_to_status_id_str;in_reply_to_user_id;in_reply_to_user_id_str;in_reply_to_screen_name;geo;coordinates;place;contributors;is_quote_status;filter_level;lang;timestamp_ms;user_id;user_id_str;user_screen_name;user_location;user_description;user_protected;user_verified;user_followers_count;user_friends_count;user_created_at;entities_screen_name;entities_name;entities_id;entities_id_str;possibly_sensitive;quoted_status_id;quoted_status_id_str;quoted_status;quoted_status_permalink;extended_entities
Tue Feb 01 12:10:59 +0000 2022;1488485027449274369;1488485027449274369;RT @psi_alexsandro: É FARSA o aumento d 33% p/ professores! Bolsonaro está apenas jogando a população contra governadores e prefeitos (igua…;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";False;;;;;;;;;;False;low;pt;1643717459915;155671766;155671766;MarcelSalomon;;Ainda acredita numa sociedade justa!;False;False;6031;6193;Mon Jun 14 19:52:11 +0000 2010;psi_alexsandro;Alexsandro Nascimento;1289218599303950336;1289218599303950336;;;;;;
Tue Feb 01 12:10:12 +0000 2022;1488484826533535748;1488484826533535748;RT @carmelonetobr: URGENTE! Acaba de cair por terra mais uma narrativa da CPI. A PF acabou de concluir que Bolsonaro não prevaricou no caso…;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643717412013;1432012315751297035;1432012315751297035;ValdemarConti;;;False;False;1;17;Sun Aug 29 16:09:05 +0000 2021;carmelonetobr;Carmelo Neto;3662771592;3662771592;;;;;;
Tue Feb 01 11:59:56 +0000 2022;1488482242833879040;1488482242833879040;RT @wadih_damous: Bolsonaro não cometeu crime de prevaricação de acordo com um “palpite” de um delegado federal. Reconheceu o fato mas conc…;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";False;;;;;;;;;;False;low;pt;1643716796011;826215661047250945;826215661047250945;UDuenhas;Penha, São Paulo;;False;False;124;462;Mon Jan 30 23:48:58 +0000 2017;wadih_damous;Wadih Damous;2613749605;2613749605;;;;;;
Tue Feb 01 12:04:03 +0000 2022;1488483280894763009;1488483280894763009;RT @BangsLester: Imagina, Folha, quando vocês descobrirem que o ex-ministro de Bolsonaro, nos tempos de juiz, praticava lawfare.;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;True;low;pt;1643717043504;39665711;39665711;BangsLester;São Paulo, SP, Brazil;Eu sou um sujeito cuja descrição das características e qualidades não chegaria a 160 caracteres mesmo!;False;False;1171;2347;Wed May 13 02:25:53 +0000 2009;BangsLester;iendiS;39665711;39665711;;1.4882995918418207e+18;1.4882995918418207e+18;1.4882995918418207e+18;;
Tue Feb 01 12:01:31 +0000 2022;1488482644413329418;1488482644413329418;RT @JornalOGlobo: Homem é conduzido pela polícia à delegacia após ser acusado de tentar jogar um ovo em Bolsonaro https://t.co/vAhgc5T1rG;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643716891755;708296222105329666;708296222105329666;denio_vale;São Paulo, Brasil;"Matemático, Físico e Cientista da Computação
PUC-SP/IME-USP
Life does not subject us to challenges to break us...Life challenges in order to strengthen us…Yanni";False;False;968;4971;Fri Mar 11 14:19:13 +0000 2016;JornalOGlobo;Jornal O Globo;54341363;54341363;False;;;;;
Tue Feb 01 12:01:50 +0000 2022;1488482723861827584;1488482723861827584;"RT @JovemPanNews: PF diz que Bolsonaro não cometeu crime de prevaricação no caso Covaxin.

https://t.co/iPUr3aN7jx";"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";False;;;;;;;;;;False;low;pt;1643716910697;128366285;128366285;yagoparola;Governador Valadares, Minas Gerais;"❤️🇧🇷❤️

""Moderação na defesa da verdade é serviço prestado à mentira."" - Olavo de Carvalho.";False;False;762;519;Wed Mar 31 22:46:34 +0000 2010;JovemPanNews;Jovem Pan News;106175018;106175018;False;;;;;
Tue Feb 01 12:07:11 +0000 2022;1488484067620401158;1488484067620401158;RT @GloboNews: O #J10 recebeu o cientista político Fernando Abrucio para falar da decisão da PF, que considerou que Jair Bolsonaro não come…;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";False;;;;;;;;;;False;low;pt;1643717231074;78910660;78910660;lourenconet;Distrito Federal, Brasil;ateu (graças a deus), apolíticos, gosta de vários esportes, ruim em todos. Desarmado, Selvagem, Vacinado;False;False;912;3828;Thu Oct 01 14:03:38 +0000 2009;GloboNews;GloboNews;142393421;142393421;;;;;;
Tue Feb 01 12:03:46 +0000 2022;1488483210971463687;1488483210971463687;RT @emirsader: Ao anunciar que não votaria em nenhum dos dois, no caso de um segundo turno entre Lula e Bolsonaro, Ciro se iguala ao Estadã…;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";False;;;;;;;;;;False;low;pt;1643717026833;3939542931;3939542931;LaRouge50698815;Curitiba , a contra gosto ;O tempo é roído por vermes cotidianos. As vestes poeirentas de nossos dias , cabe a ti , Juventude, sacudi - las. ( V Maiakovski );False;False;2242;3861;Mon Oct 12 18:58:10 +0000 2015;emirsader;Emir Sader;34586817;34586817;;;;;;
Tue Feb 01 11:59:52 +0000 2022;1488482229315645444;1488482229315645444;"RT @OduwaldoCalixto: @marciatiburi Realmente. 
Brasileiros como você não merece Bolsonaro. 
Vocês querem a balbúrdia, a orgia, o descalabro…";"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643716792788;800688297441824768;800688297441824768;EliseuMendonca7;Luziânia, Brasil;"Sou um protestante pela bondade de Deus.
Patriota, Amo meu País e Meu Presidente!!";False;False;1070;2591;Mon Nov 21 13:12:21 +0000 2016;OduwaldoCalixto;oduwaldo calixto;920284614572302336;920284614572302336;;;;;;
Tue Feb 01 11:59:52 +0000 2022;1488482229315645444;1488482229315645444;"RT @OduwaldoCalixto: @marciatiburi Realmente. 
Brasileiros como você não merece Bolsonaro. 
Vocês querem a balbúrdia, a orgia, o descalabro…";"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643716792788;800688297441824768;800688297441824768;EliseuMendonca7;Luziânia, Brasil;"Sou um protestante pela bondade de Deus.
Patriota, Amo meu País e Meu Presidente!!";False;False;1070;2591;Mon Nov 21 13:12:21 +0000 2016;marciatiburi;Marcia Tiburi;109337521;109337521;;;;;;
Tue Feb 01 12:09:51 +0000 2022;1488484741322051586;1488484741322051586;RT @cosmolemos: A Imprensa vermelha inimiga do Bolsonaro, adversária do Sergio Moro e namoradinha do Lula, que não o denuncia e apanha todo…;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643717391697;1378125129742491660;1378125129742491660;Iro_SomosMoro;;;False;False;689;1095;Fri Apr 02 23:20:30 +0000 2021;cosmolemos;cosmo silva lemos;131517701;131517701;;;;;;
Tue Feb 01 12:07:51 +0000 2022;1488484235639984131;1488484235639984131;RT @UOLNoticias: Bolsonaro é refém do Congresso e Moro é uma figura insignificante, diz Lula https://t.co/ZD1u61Cv5O;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";False;;;;;;;;;;False;low;pt;1643717271133;946705770309214208;946705770309214208;Elieteandradem2;Bahia;TEM QUE VIGORAR ❤️❤️💜💚;False;False;4547;4450;Fri Dec 29 11:33:39 +0000 2017;UOLNoticias;UOL Notícias;14594698;14594698;False;;;;;
Tue Feb 01 12:00:17 +0000 2022;1488482334517215234;1488482334517215234;"RT @julianadalpiva: Novidades por aqui 👇

Conversa por telefone em dezembro passado rompeu 3 anos de silêncio entre Flávio Bolsonaro e Fabr…";"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643716817870;886674611546587137;886674611546587137;quemsabesabado;;;False;False;47;210;Sun Jul 16 19:51:15 +0000 2017;julianadalpiva;Juliana Dal Piva;28217833;28217833;;;;;;
Tue Feb 01 12:05:39 +0000 2022;1488483682432294912;1488483682432294912;RT @LulaOficial: O que as pesquisas mostram é que o povo tá cansado do Bolsonaro. O povo está querendo realizar seus sonhos e esse governo…;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643717139238;1198324872;1198324872;badgaltaiga;Viçosa - MG;esse papo de escutar vozes não é eu lírico;False;False;289;330;Tue Feb 19 18:59:07 +0000 2013;LulaOficial;Lula;2670726740;2670726740;;;;;;
Tue Feb 01 12:04:57 +0000 2022;1488483508720918534;1488483508720918534;RT @guicatini: @senadorhumberto https://t.co/AnMZ0BT2UC;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";False;;;;;;;;;;True;low;und;1643717097822;1433913989680009225;1433913989680009225;1984Patriota;;;False;False;1324;1264;Fri Sep 03 22:05:27 +0000 2021;guicatini;Guilherme Catini;801983517043388416;801983517043388416;False;1.4881921754773012e+18;1.4881921754773012e+18;1.4881921754773012e+18;;
Tue Feb 01 12:04:57 +0000 2022;1488483508720918534;1488483508720918534;RT @guicatini: @senadorhumberto https://t.co/AnMZ0BT2UC;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";False;;;;;;;;;;True;low;und;1643717097822;1433913989680009225;1433913989680009225;1984Patriota;;;False;False;1324;1264;Fri Sep 03 22:05:27 +0000 2021;senadorhumberto;Humberto Costa;76049312;76049312;False;1.4881921754773012e+18;1.4881921754773012e+18;1.4881921754773012e+18;;
Tue Feb 01 12:09:57 +0000 2022;1488484765271478274;1488484765271478274;RT @AlanLopesRio: ATENÇÃO: está ocorrendo nesse momento, uma pesquisa eleitoral para Presidente. Vamos todos entrar e votar Bolsonaro! Comp…;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643717397407;1193228117055291393;1193228117055291393;RomeuProBrasil;USA;Patriota, Liberal, ético e Mineiro.;False;False;759;1032;Sat Nov 09 18:05:33 +0000 2019;AlanLopesRio;Alan Lopes;1157984524116156416;1157984524116156416;;;;;;
Tue Feb 01 12:08:08 +0000 2022;1488484309128429569;1488484309128429569;"RT @ThiagoResiste: Bolsonaro lançou um PROGRAMA DE EMPREGO pra pagar R$ 5,50 a hora sem carteira assinada.

Isso mesmo, se você trabalhar 1…";"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643717288654;1431755541932556290;1431755541932556290;Pafunci55102508;;Jesus,Lampião,Maria Bonita,Madre Tereza,Ghandi,MalconX,Luther King,Mandela,Chico Rei,Chico Mendes,Lula,Che,Gabriel Garcia,Simon Bolivar,HeráclitoSobral obrigado;False;False;250;327;Sat Aug 28 23:08:52 +0000 2021;ThiagoResiste;Thiago Brasil;1270774020808626176;1270774020808626176;;;;;;
Tue Feb 01 12:07:36 +0000 2022;1488484176148017155;1488484176148017155;"RT @BolsonaroSP: Os Pingos nos Is ao vivo agora: “PF conclui que Bolsonaro não prevaricou no caso Covaxin”. Assista:

https://t.co/6XQEaVr3…";"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643717256949;162740168;162740168;maxwel_machado;Vila Velha - ES;Analista de Sistema vivendo no Matrix do Brasil, mesmo após tomar a redpill.;False;False;127;171;Sun Jul 04 15:00:37 +0000 2010;BolsonaroSP;Eduardo Bolsonaro🇧🇷;74756085;74756085;;;;;;
Tue Feb 01 12:00:15 +0000 2022;1488482326183092227;1488482326183092227;RT @flferronato: O novo marqueteiro (aquele que era marqueteiro do PT) mal assumiu e Moro já começa a pregar o voto nulo (em uma cabra) cas…;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643716815883;1361980085952262144;1361980085952262144;Luciane43533166;;;False;False;128;392;Wed Feb 17 10:05:53 +0000 2021;flferronato;Flavia Ferronato;40637000;40637000;;;;;;
Tue Feb 01 12:02:00 +0000 2022;1488482763023937537;1488482763023937537;"RT @narendramodi177: 2. Jair Bolsonaro (Brazil) –36L
3. Andrés Manuel López Obrador (Mexico) –30.7L
4. White House –19L
5. Joe Biden –7

2.…";"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;es;1643716920034;1385501013549846533;1385501013549846533;deshwal_jonty;;Jonty Deshwal 204@gmail.com;False;False;54;327;Fri Apr 23 07:52:04 +0000 2021;narendramodi177;Narendra Modi fan;3220084519;3220084519;;;;;;
Tue Feb 01 12:05:03 +0000 2022;1488483531496042497;1488483531496042497;RT @RevistaISTOE: O marketing político, às vezes, erra feio. Presidente é alvo de uma enxurrada de críticas e memes irônicos após vídeo com…;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643717103252;746284500460646400;746284500460646400;sandro_vxs;SP;"#ImpeachmentECadeiaParaBolsonaro
Tenho ASCO, REPUGNÂNCIA, ÓDIO de Jair Bolsonaro!
Apoio o doutor @SF_Moro.
A única certeza do universo é a mudança.";False;False;7613;8024;Fri Jun 24 10:11:05 +0000 2016;RevistaISTOE;Revista ISTOÉ;29913589;29913589;;;;;;
Tue Feb 01 12:01:21 +0000 2022;1488482599496527872;1488482599496527872;RT @jairbolsonaro: Baixe nosso aplicativo com muitas informações sobre ações atualizadas diariamente para seu conhecimento: https://t.co/Yo…;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";False;;;;;;;;;;False;low;pt;1643716881046;130234165;130234165;rsp_2000;Taubaté,SP, Brasil;Empresário, Brasileiro, de Direita e Patriota.;False;False;3418;5001;Tue Apr 06 18:33:23 +0000 2010;jairbolsonaro;Jair M. Bolsonaro;128372940;128372940;;;;;;
Tue Feb 01 12:07:07 +0000 2022;1488484054592901126;1488484054592901126;RT @SigaGazetaBR: Bolsonaro cancela participação na abertura do ano do Judiciário https://t.co/HUIJfuDH8N;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643717227968;2734500154;2734500154;RMidao;;;False;False;113;73;Tue Aug 05 21:17:37 +0000 2014;SigaGazetaBR;Gazeta Brasil;1090291692744466433;1090291692744466433;False;;;;;
Tue Feb 01 12:02:10 +0000 2022;1488482805633925126;1488482805633925126;RT @ThiagoResiste: Milicianos donos do quiosque TROPICÁLIA na Barra, a 500 metros da casa de Bolsonaro, assassinaram Moise. Ninguém foi pre…;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";False;;;;;;;;;;False;low;pt;1643716930193;160340989;160340989;Michellebpaiva;Alto Paraíso de Goiás, Brasil;“Não sou nada. Nunca serei nada. Não posso querer ser nada. À parte isso, tenho em mim todos os sonhos do mundo”  #ForaBolsonaro;False;False;65;234;Sun Jun 27 22:35:19 +0000 2010;ThiagoResiste;Thiago Brasil;1270774020808626176;1270774020808626176;;;;;;
Tue Feb 01 12:08:09 +0000 2022;1488484311712124937;1488484311712124937;"RT @EliezerMOlivei1: A família militar, em especial os graduados e pensionistas das Forças Armadas, agradecem a V.Exa Sr. Deputado 
@MajorV…";"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643717289270;949992931;949992931;EliezerMaciel1;Maceió, Brasil;"Militar da Reserva, lutando contra as injustiças da #leidomal13954 

Unidos, fortaleceremos a nossa luta!";False;False;1024;2045;Thu Nov 15 15:53:56 +0000 2012;EliezerMOlivei1;Eliezer M Oliveira;1294398464776974338;1294398464776974338;;;;;;
Tue Feb 01 12:01:07 +0000 2022;1488482543414517765;1488482543414517765;RT @da_goiabeira: Convido a todos os brasileiros que estão vivendo em Portugal, que fujam do socialismo e voltem ao Brasil, terra de Bolson…;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643716867675;622875386;622875386;lunardosena;Natal - RN;;False;False;79;96;Sat Jun 30 14:52:41 +0000 2012;da_goiabeira;Jesus Da Goiabeira 🐊💉💉;1073443246838374400;1073443246838374400;;;;;;
Tue Feb 01 12:04:11 +0000 2022;1488483313195048970;1488483313195048970;"RT @DCM_online: Foto mostra Carluxo dirigindo farofada de Bolsonaro
https://t.co/TMEwYTHTIw";"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";False;;;;;;;;;;False;low;pt;1643717051205;41322285;41322285;ajrs220245;Recife, Brasil;*Amanhã há de ser outro dia...* . Vence quem acredita que pode vencer..sempre pela esquerda;False;False;2295;5001;Wed May 20 08:37:27 +0000 2009;DCM_online;DCM ONLINE;43340387;43340387;False;;;;;
Tue Feb 01 12:07:23 +0000 2022;1488484118937710594;1488484118937710594;RT @PLDB91: Pessoal sigam o Causa Liberal.;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;True;low;pt;1643717243309;1327265877864173568;1327265877864173568;ThiagoCabralNL;paisecó de 3⁰ mundo ;Ordo-Neoliberal,Republicano anti autoritário, que gosta da tripartição do poder e da Democracia Liberal, membro da @MZueiralivre Colunista do @LiberalCausa;False;False;368;951;Fri Nov 13 15:04:05 +0000 2020;PLDB91;PLDB 🏴󠁧󠁢󠁥󠁮󠁧󠁿🕊;1475968367706226693;1475968367706226693;;1.4884782704211804e+18;1.4884782704211804e+18;1.4884782704211804e+18;;
Tue Feb 01 12:02:30 +0000 2022;1488482891109707781;1488482891109707781;RT @salimmattarbr: CONGRESSO FINGE DE MORTO! Nessa confusão constitucional e institucional provocada pelo ministro do STF Alexandre de Mora…;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643716950572;755185757745213440;755185757745213440;MauroAguiar1954;Cuiabá, Brasil;;False;False;1170;1500;Mon Jul 18 23:41:30 +0000 2016;salimmattarbr;Salim Mattar;1186340935124291586;1186340935124291586;;;;;;
Tue Feb 01 12:00:53 +0000 2022;1488482483649789965;1488482483649789965;"RT @Bia_AGVR: Mesmo que a verdade às vezes doa, ela é necessária!
Enquanto Bolsonaro leva internet e informação para o povo, os tiranos psi…";"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;True;low;pt;1643716853426;1254435406898253824;1254435406898253824;SheilaG95231478;;;False;False;1813;2083;Sun Apr 26 15:42:13 +0000 2020;Bia_AGVR;Bia Trix;53065352;53065352;;1.488308080567898e+18;1.488308080567898e+18;1.488308080567898e+18;;
Tue Feb 01 12:02:43 +0000 2022;1488482944285093892;1488482944285093892;RT @AlanLopesRio: Parabenizo publicamente a Rede Record e a Igreja Universal, por não se omitirem de falar abertamente a seus membros e tel…;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643716963250;1267826639552917510;1267826639552917510;BolonhesiLucas;;Bolsonarista, brasileiro e apaixonado pelo meu país, acredito em Deus e na sua obra maravilhosa, só conversa reta, mimimi é coisa de esquerdista.;False;False;136;415;Tue Jun 02 14:33:46 +0000 2020;AlanLopesRio;Alan Lopes;1157984524116156416;1157984524116156416;;;;;;
Tue Feb 01 12:01:31 +0000 2022;1488482644342059023;1488482644342059023;"RT @LucianaAllu: Recepção ao presidente Bolsonaro em São João da Barra RJ - hoje 31/01/22
DataPOVO 
https://t.co/vjqpVteZhp";"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";False;;;;;;;;;;False;low;pt;1643716891738;829486423917096961;829486423917096961;lhlucy75;Paulo Afonso, Bahia;Biomédica 👩🏻‍🔬    Instagram : @lhhelene;False;False;50;211;Thu Feb 09 00:25:49 +0000 2017;LucianaAllu;LuSapelli 22🇧🇷;1373804134227402756;1373804134227402756;False;;;;;
Tue Feb 01 12:09:23 +0000 2022;1488484624078721025;1488484624078721025;RT @LulaOficial: O que as pesquisas mostram é que o povo tá cansado do Bolsonaro. O povo está querendo realizar seus sonhos e esse governo…;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";False;;;;;;;;;;False;low;pt;1643717363744;1040035277358686210;1040035277358686210;diogocostabr;Rio Grande do Sul, Brazil;"SABE MOÇO 

♫♪♬ E o que restou?
Ah, sim!
No peito em vez de medalhas
Cicatrizes de batalhas
Foi o que sobrou pra mim ♫♪♬";False;False;862;4393;Thu Sep 13 00:31:47 +0000 2018;LulaOficial;Lula;2670726740;2670726740;;;;;;
Tue Feb 01 12:09:06 +0000 2022;1488484550154104835;1488484550154104835;RT @AntonioCGRodri: Samuel do Skank acabou sendo vaiado no show... emendou um fora Bolsonaro na música e sentiu a pesquisa do datafoia. 🤣🤣🤣…;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";False;;;;;;;;;;False;low;pt;1643717346119;952706764155293697;952706764155293697;RonaldoRetamal;São Gabriel -RS;;False;False;24;353;Mon Jan 15 00:59:27 +0000 2018;AntonioCGRodri;Antonio Carlos 🇧🇷🤝🏼🇵🇹.;1113786828824436736;1113786828824436736;;;;;;
